The antibiotic may have destroyed bacteria causing my sinus infection.  But it may also have been caused by a virus, so its hard to say.	Some back pain, some nauseau.	Took the antibiotics for 14 days. Sinus infection was gone after the 6th day.
differin made my skin less oily and shiney and had a very small effect on my large pore size	at the start my skin was very red. after a long period of using differin my skin started to become more oily again,but not as oily as before i started using it. also got small patches of peeling skin especially around the nose	after washing face at night i applied a thin layer over entire face every second night and washed it off in the morining
"After the first month it definetely improved my mood and my level of energy.

I became more productive at work and my overall mental health improved.

It also helps a lot with my pre menstrual syndrome anxiety."	I had very mild nausea about 30 minutes after taking it in the morning that went away after a couple weeks.	"I took the medicine 20 mg once a day for one year and had no major side effects.

Did not feel any sonolence and actually improved my sense of overall well being."
The medication stops the pain and puts an end to the condition if taken soon enough	I felt fatigued but this could be just a symptom of the condition.	I had little spots (blisters unbeknownst to me) on the side of my face which itched and burned terribly. This was about the size of a quarter.  I thought I had some sort of insect bite and just ignored it until it got worse and I felt so tired and sick that I went to the dr.  He took a culture but at that point he didn't think there was anything to test but prescribed Valtrex.  I took it immediately and within a day felt relief.  After a couple of days I felt a million times better.  I have had one or 2 re-occurances over the last 10 years and I make sure I always have Valtrex on hand just in case.  It is a terrible condition and I am thankful for Valtrex as it seems to stop it in its tracks.
I've been taking for a little over a week. This med suppresses my appetite so much that I have to remind myself to eat and have absolutely no desire for food if I don't eat. I can already tell that I've lost inches and pounds, but I haven't been on the scale to see exactly how much yet. I have only been exercising moderately, although the feeling of energy is incredible and makes me get up and do everything!!! My doctor was cautious in giving to me because of my high blood pressure, but fortunately my BP meds have my condition well under control, so I just keep track of my daily reading to ensure there are no spikes. I feel like this really works so far!	I've read the side effects, but honestly, I can't say that I've experienced more than a couple of mild headaches and feeling that slight "elated" feeling. I already experience night sweats & some insomnia due to menopause, so I can't tell a difference in those categories.	I have a 30-day supply and based on what I've read about the addiction, I have not decided if I will continue beyond a 90-day regimen.
"Acanya Gel treated cystic acne, blackheads, whiteheads, and any inflamed acne on my face. The water-based/fragrance-free gel did not cause ant stinging or burning.

Within in a month, my face is completely clear of all acne. Scars have also faded and smoothed out."	Dryness, slight redness and a small amount of peeling.	The combination of clindamycin and benzoyl peroxide is used to treat acne.  The combination of clindamycin and benzoyl peroxide works by killing the bacteria that cause acne.
this birth control pills helps your skin if u are someone who breaks out often	none really but i have increased pms symptoms around 2 weeks beforre my period etc.. certain food cravings, fatigue, muscle weakness. also lost weight from this pill as it suppresses my appetite	one pill a day preferably at the same time every day
weight loss was the major benefit of approximately 8-10 pounds.  it also improved my LDL and HDL cholesterol and also triglycerides.  my hemoglobin a1c also improved.  my fasting blood sugar only marginally improved.  pulse and blood pressure stayed the same.	mild gi upset when first started the drug with some diarrhea, but these side effects dissipated after approximately two months of use.	took 500 mg twice a day with virtually no side effects, except could not tolerate any doses higher than that because of gi upset.  continue to take it without a problem.
Reduced pain almot always, except when severe spasims occured.	Mild and only occasional constipation. Sometimes felt a little foggy in the head.	Took this drug as needed and the results are very good for reliveing severe pain.
I had increased stamina, anemia went away, heavy menses improved from anemia being treated.  My hair grew thicker as much of it had fallen out.  My dry skin was much improved.  I had a huge improvement in clarity of thought.  My tongue seemed previously swollen and I could enunciate much more effectively.	Getting the proper dose was tricky.  If dose was too high, my pulse rate skyrocketed.  If the doctor reduced my dose too quickly my hair would start to thin.	Once yearly testing of TSH. One tablet per day.
ability to stay awake, focus, do daily household chores, run needed errands & helped my organizational skills as far as bills	dry mouth. sometimes slight headaches, but not completely sure if its just from medicatation or being tired as i do have a very busy schedule,	i was prescribed 60 tablets of 20 mg. he told me to experiment myself as to what dosage worked for me, not exceeding 2 whole pills daily. normally i take one whole pill in the morning at 6:30-7 @ 1/2 at 12 and 1/2 before work at 4 pm. sometimes on the weekend i'll only take 1 because i try to have extras in case needed at another time & i dont want to build up tolerance
Taking the provigil has allowed me to keep working fulltime; otherwise I wouldn't be able to function well due to the extreme constant fatigue I experience related to MS. My neurologist suggested I try this.  It has helped considerably during the daytime with my concentration level and also has helped me to stay focused.	Provigil works well for an approximate 3 hr. period, but wears off shortly after that. I do experience slight rapid heartbeat initially and feel jittery for a short time but it goes away quickly. I currently take 100 mg. and if needed, another 100 mg. in the afternoon.  I don't take this any time after 2 pm as I'll be up all night.  I do need to take a prescribed sleeping pill in order to get to sleep since I've been on Provigil.	I initially started on 200 mg. daily and have cut back as I do have trouble getting to sleep and staying asleep.  I have been on this for 7 months and the effectiveness of Provigil is at the same level today as it was when I began.
Taking Wellbutrin has reduced my depression 8 fold.  I was better able to cope with every day decisions, events that stressed me with out crying or having angry episodes.  My moods have become stabilized since about a month after the start of taking this medicine.	I tried two other medications prior to using Wellbutrin and was quite pleased!  I had mild dry mouth for about a month and actually lost the weight i gained from prior meds and a bit more.  I still have shaking hands but it is not any worse than a cup of coffee.  I have found that my tolerance to alcohol has increased, and lately my lower back has been hurting in the area of my kidneys, but i also have lower back spasms so i could be projecting worry that the combination of Wellbutrin and wine are doing major damage to my liver and kidneys!	I started taking 150mg of Wellbutrin from April 15 to 30 in 2005 and then increased to 300mg.  I tried to take 450mg about a year ago because I felt the medicine did not seem to be working as well, but I wound up not benefiting from that dose.  I also tried to add Lexapro and gained so much weight I had to stop that medicine. I was given a generic version for about a month and I believe the pills were expired or tainted because the smelled rancid and my behavior patterns went haywire!
Although it is essential to take the medication for the full 90 days, after one week I noticed that the skin on my affected foot was looking much better. I had years of tough, thick, dry, flaky skin on my heel and pads under my toes. As each week passed, this condition continued to improve. Almost from day one I did not experience any itchy toes or feet. At the end of the 90 days, I could see healthy nails growing up from the cuticle, although it will take several more months for the entire toe-nail on each affected toe to grow long enough that I can cut away the damaged nail.	"The first few days (maybe three)of taking the drug I was a bit headachy and then experienced some mild stomach upset. After that, I was fine with no further issues.

A positive side effect was that after the treatment was over I noticed that the skin on my legs was very smooth. Previously I had rough, scaly skin which I just thought was dry skin, though I could never rid myself of it. But I guess it was part of the whole problem because now the skin is beautiful."	"I had been having regular doctor check-ups and am healthy.



During the 90 days, I was told to take the drug once per day and to also use lamisil cream on my feet every day.

About mid-way through, the doctor ordered a test for my liver, which came out fine.

Once the treatment was complete, my doctor suggested that I take one pill every month and use the cream on my feet twice per week."
Improved mood after trying several other SSRI's. Had tried Prozac and Wellbutrin and got no effect from them. I was able to function better. I was not ecstatic, but was functional and less prone to negative thinking.	a bit of feeling dull or neutral.	Maximum dosage indicated in literature is 150 mg per day.  Took two 75 mg capsules in the morning with breakfast. The medication started to work within two or three days.  However, it's expensive. I would not say that I am non-functional without it, but I believe I am more functional when taking it.
Prevention of pregnancy. I used to insert in my vagina the nuvaring and I had my period just in time. I always knew what day my period was coming.	Headaches..cramping..nausea...dizzines	One ring once a month. I had to keep the ring for three weeks in my vagina and then take it out to get my period three days after. I had to insert a new ring in the fourth week.
Immediately ameliorated symptoms and extremely efficacious when used prophylactically	Occasional mild gastrointestinal irritation when using a high dose (4000 mg)	I take 800 mg of acyclovir at the first sign of tingling along lips or tip of nose. I've found this prophylactic approach to be most efficacious if I dose at 800 mg for a day or two subsequently. In doing so, I've reduced hsv1 outbreaks from one a month to one a year. If I do get an outbreak, I dose 4000 mg per day (800 mg apprx every 2-3 waking hours) for four days then taper to 800 to 1600 mg per day for two to three more days with excellent results. If I begin dose after an outbreak has initiated, it is immediately arrested from worsening though it still will go through it's viral cycle remaining at a very small scale as long as I continue treatment as described above.
With the Topamax alone, and not myself consciously changing any of my dietary habits or exercising, I lost about 10% of my body weight in the first two months of treatment. It was like a tiny switch in my brain was flipped and I just didn't crave gargantuan massive quantities of horrible-for-you food. Not that food didn't taste good, or I wasn't hungry, I just filled up really quickly, and nothing seemed any more appealing than anything else. So when you're not just going off whatever looks yummy at that exact second and you actually stop and think about what you're about to eat, you tend to choose something a tad bit healthier and less caloric. Combine that with the fact that it would take about half the amount to fill me up, and there you have your weight loss.	Dry mouth (I was also taking Prozac at the time which definitely contributed), mild transient tingling in the hands and feet (pins and needles), I've read a lot of posts in forums online from people suffering memory problems with Topamax (i.e. dopamax), they forget words easily, have trouble spelling, feel foggy, etc... I guess I'm one of the few fortunate people whom Topamax doesn't effect that way. Either that, or the dose I'm at (200 mg) is well below my tolerance threshold. Many of the people in these forums were being treated for epilepsy and debilitating migraines and taking doses up to 1200mg.	I had done some research on Topamax online before it was even an approved treatment for migraines, and it was only FDA approved for epilepsy. While on the web I found that a surprising amount of doctors were prescribing it for off-label purposes, such as an add-on to an SSRI that wasn't working well enough in depressed patients, a mood stabilizer in patients with bipolar disorder, and (gasp!) a weight loss drug in obese patients and in those with binge eating disorder. Several convincing clinical studies have been done in all of the above categories as well. Topamax will have clearance from the FDA to be marketed for the treatment of bipolar disorder in 2010.
This medication helped me marginally to focus better and was somewhat more energetic.	I did not had much side effects, had some dry mouth at times but was manageable.	I started with low dose with 5 mg dialy, gradually increased upto 20 mg. Did not hv satisfactory results but my psychiatrist did not feel comfortable to increase the dose due to serious drug abuse potential though I absolutely hv never tried as illicit drugs including the most commonly used MJ and alcohol.
It was supposed to stop the hot flashes that were keeping me awake at night.	Left me extremely sleepy the next day to the point I had to lay down an hour after I got up and I noticed no real difference in the hot flashes.	I wanted to stop hot flashes without going on HRT medication.  My doctor recommended trying Clonidine
It helped me sleep, which at the time was miraculous.	Bad taste in mouth but the sleep was worth it.	If I could tell I was going to have a hard time sleeping, I was supposed to take the medecine about 45 minutes before going to bed.  Sometimes it was hard to realize/remember to take it ahead of time like that, but it was so fast-acting that wasn't really a problem.  I'm little, 5'2 and 120 lbs, and the doctor said it was okay to break them in half so I mostly did.  After about fifteen minutes I would get drowsy and then I would get a nice night's sleep.   This was incredibly valuable and it was no problem to go off the medication at the end of treatment because I was only taking it when I needed it anyway, only a couple times a week at the worst point.  The halitosis might have actually made it easier to stop taking--I had to really want the sleep and be willing to put up with the foul taste in my mouth. But if I needed the sleep badly enough it was really worth it.
effective for falling and staying asleep	slight dry mouth initially, but this subsided with use (3 - 4 weeks)	My problem was never falling asleep, it was waking up a few hours after falling asleep and being wide awake, my mind racing on thoughts of the day.  This medicine allowed me to fall asleep quickly and stay sleeping throughout the night.  My doctor told me it was originally marketed for anxiety/depression, but not widely prescribed for that once the sedative effects became known.  (I can't imagine taking one of these in the morning, as a anti-depressant....It would surely knock me out.)  The tablets are sold as 150 mg tablets.  I split mine (75 mg) and for $4 at Target, I get two months worth.  Highly recommend this for those who can't fall or stay asleep.
The benefits of using Tretinoin were great. First of all I noticed that my skin started glowing and my acne diminished greatly. But I had to be very patient because the results were not immediate. Continued use of the medicine rendered amazing results. My skin is a lot more smoother, healthier, and brighter.	luckily I did not notice any negative side effects. The positive effects that I noticed out weighed the negative ones. The side effects that i noticed were very slight peeling of the skin and a very very slight burning sensation. The burning sensation however, completely went away with continued use of the medicine. I believe this is so because my skin became more and more tolerant the more I used it.	My treatment details are as follows: I Used Avita (Tretinoin) every night after cleansing my face. I waited about 15-20 minutes after cleansing to apply a dime size of the medication. My doctor recommended doing so to make the skin less sensitive and more receptive of the drug. My doctor also told me that the use of sunscreen was imperative while using Tretinoin because retinol can cause the skin to become sensitive to sunlight. So every morning before leaving the house I made sure to apply a sunscreen.
I ahve three sleep disorders: sleep apnea due to closing up of my throat (anatomical), restless leg syndrome and the worst one, hypersomnia -- tired much of the time with no explanation. I tried this drug - sent directly to the home and only with approved diagnosis (I am just short of narcolepsy) - to see if I would feel rested when I awoke. I did for one day but then the effects did not continue with each successive night. Sounds strange, I know, but that is what happened.	I did not have any side effects except that if I got less than 4 1/2 hours of sleep after waking to take the second dose - I would stillfeel the effects -- as if drugged a bit.	I think I have included everything above. I tried a second week and felt a slight refreshed feeling upon awakening - but not significant ewnough to keep taking it. Understand, I only remember awakening refreshed 3 times in my life. one of them after that first night I used Xyrem. I have enough to try a third week and probably will -- since I am desperate for my former qualilty of life when I didn't struggle with feeling tired as I do now.
Wellbutrin XL was the only anti-depressant I tried that I could take without noticable side effects. A big contributer to my depression was weight gain that accompanied it, and as a result my doctor prescribed wellbutrin because typically the patient either stays the same or loses weight will taking it, as opposed to almost every other anti-depressent which can cause weight gain.	Very minimal side effects. Only noticable thing is that you can feel the pill wear off near bed time and that can cause a sudden spike in appetite.	The wellbutrin helped me regain control of my appetite and as a result i took back control of my happiness and wellbeing.
ALSO HELPED WITH HOT FLASHES. IT ALLOWED FOR ME TO CARRY ON WITH NORMAL ACTIVITIES.	MILD JITTERS WHEN FIRST TAKING. IF SKIPPED WOULD CAUSE EXTREME HEAVINESS AND TIREDNESS	i TOOK EFEXXOR IN THE AM AND AT LUNCH
Depression has cleared up quite miraculously.	Eating too much - no sense of when to stop. Slight antihistamine feel.	"I had been on Celexa for two years, and noticed a major change in my libidio and concurrent diminishment of feeling in my sexual parts.  As I am married I started taking Cialis to maintain an erection, and it worked fine, however, Cialis didn't make me feel any more during lovemaking, and the whole topic increased my depression and worry. I didn't wish my wife to find out I took Cialis because I love her dearly and didn't want her to think my sexual feelings were drug induced.  



I searched the internet for non-SSRI antidepressants with little or no sexual side effects.  I talked to my psychiatrist about Mirtazapine and he was fine with taperinf me off of the Citalopram. Within days of decreasing the Citalopram I felt so much smarter. The Mirtazapine has really allayed the depression and most of my anxiety.  I do also take Buproprion and the two things do seem to allay depression and anxiety.



I definitely recommend trying Mirtazapine if you're depressed, especially if you either hate SSRIs, or haven't founnd anything else which works. It doesn't really have such bad side effects. And my dreaming has become really interesting. I actually can't wait to go to bed now.  I did have a nightmare the first night I took it, but not since then. Instead I have had all sorts of dream desire fulfillment, and it's odd how much that can make you feel more resourceful for the rest of your day.



I also wasn't able to work for the last two years because of moodiness and benzodiazpine use for anxiety and sleep.  Now I have cut out all thosoe medications and I really do feel much better.  Eating too much does seem to be an issue. I eat so much sometimes that I can't breate. That part is going to demand some serious self - control."
I got up and felt better in the morning, then as the day went on I felt more and more lethargic so I dont know if I was taking the right amount or if it was the drug. I then took it twice a day but it did not seem to help my lethargy	bone aches	1 daily
The benefits are that being on Neurontin with the Lidoderm Patch 5%, it has helped to give me a much better quality of life.  My pain is significantly reduced because of these two medications, though not completely gone.  The side effects, to my knowledge, have been minimal, especially compared to what it could be without these medications.  Could a different medication work better?  Maybe.	It's hard to say what the side effects might be.  I sometimes have trouble thinking or speaking my thoughts concisely, moodiness, somewhat depressed, shortness of breath at times, dizziness, occasional vision problems, some numbness or odd sensations in legs or arms etc.  However, I can't say for sure if any of these side effects/symptoms are from taking Neurontin, the lidoderm patch or for some other reason (stresses...).	Ten years ago I had spinal chord surgery to remove a tumor.  Fortunately it was benign.  The down side is that it pressed on the nerves so much that it permanently damaged them.  The greatest nerve pain I have is from the center of my chest all the way around on the right side (breast area) to the center of my back on the right.  The skin in that area is so sensitive that any clothing even slightly rubbing on it can cause great pain.  I have been very happy with Neurotin for the most part.  I know it is working because if I am late taking my next dose (every eight hours) the pain starts to increases.  The Neurotin alone does not work well.  In addition, I have to wear a Lidoderm patch.  This has made a huge difference.  Now, after nine years I'm beginning to feel my medication isn't working as well as it used to and am planning to review these changes with my doctor.
Helps me to sleep although does NOT help RLS.  I sleep through the night now with requip to still my legs and trazodone to help me sleep.  It has made a HUGE difference.  I went through a sleep study prior to taking these meds and it turned out I was not getting any sustained deep sleep.	At first I was terrible groggy, but I adjusted.	I take it every night about 1/2 hour before I go to bed.  If i wait too late, i am tired in the morning but it is worth it!
It drastically reduced breakouts all over my body therefore I did not constantly have flu like symptoms because of the breakouts. So even under stressful life events which usually results with a breakout the Valtrax stopped or reduced the frequency of breakouts. So far I have only been taking 1 per day and I have not had any breakouts for a month.	It initially made me feel tired and lethargic. I believe it contributed to  a short bout of stomach upset and heavy bowel movements however this problem subsided fairly quickly. I think it also contributes to my eyes feeling dryer than usual. Since I am post menopausal dry eyes is a huge problem.	I was supposed to take 2 tablets a day 1 in the morning and 1 in the evening. I followed this regimen for 1 and a half weeks then I decided to reduce the dosage myself to 1 per day. I checked with the ND and she said that protocol could be followed unless I felt that I was going to have a breakout then go back to 2 a day. I can take up to 4 per day if needed however so far the 1 per day has worked well for me.
The benefits of using Tretinoin were great. First of all I noticed that my skin started glowing and my acne diminished greatly. But I had to be very patient because the results were not immediate. Continued use of the medicine rendered amazing results. My skin is a lot more smoother, healthier, and brighter.	luckily I did not notice any negative side effects. The positive effects that I noticed out weighed the negative ones. The side effects that i noticed were very slight peeling of the skin and a very very slight burning sensation. The burning sensation however, completely went away with continued use of the medicine. I believe this is so because my skin became more and more tolerant the more I used it.	My treatment details are as follows: I Used Avita (Tretinoin) every night after cleansing my face. I waited about 15-20 minutes after cleansing to apply a dime size of the medication. My doctor recommended doing so to make the skin less sensitive and more receptive of the drug. My doctor also told me that the use of sunscreen was imperative while using Tretinoin because retinol can cause the skin to become sensitive to sunlight. So every morning before leaving the house I made sure to apply a sunscreen.
It cleared up my coughing within 2 days.  I could sleep far better at night.	I had mild diarrhea, though I'm not sure if it was due to the drug.	I was told by my doctor to take the medication once a day for about 5 days.  The best results came within 2 days, and seemed to plateau after that.  I requested another prescription so I ended up taking it for about 2 weeks, but I seemed to see little improvement during the 2nd prescription.  It was probably because the bacteria was kept under control, but my body was taking time to heal.
"stomach pains lesson over time it would take around 4/5 days to start working.

was told by the doctor not to use the medication for years but for one to two months at a time."	"starting up effects dizziness,nausea, but would subside when medication started getting into my system.

Would also feel tired while taking it and would sometimes make you feel unwell but I only found this on the 30mg."	After stopping though stomach pain returns within 3 weeks.
Lost 30 lbs in first month of treatment. Portion size was easy to control. If busy I sometimes forgot to eat. Mood was slightly altered for the first week - I was more patient - but this was short term. This medication has changed my relationship with food and I feel in control.	Felt a little spacey and calm for first few days. Sleep was disrupted for about two weeks - waking hourly. Excess energy and restlessness for the first week.	10mg for 1st month, 15mg for next month.
I have had severe migraines for over 20 years. Since taking the amitriptyline my migraines have decreased to once or twice every six months! As long as I take the "elavil" and watch for triggers I am now in control of my migraines and not the other way around.	groggy in the morning, slight weight gain, dry mouth	I started at 25 mg and that increased to 50 mg.
The treatment benefits of taking predisone for asthama were that it reduced the inflammation and eased breathing.  Although steroids are being scrutinized in the media at this time, they do have a place in the treatment of life threatening episodes of asthma and other diseases that casue severe inflammation.  I do not care to be on prednisone for any period of time, however, breathing is necessary to life and the prednisone offers a quick relief of the symptoms.	While taking the prednisone I had an increase in blood pressure.  I also was very perspired while the dose was higher and felt extremely edgy and agitated.	The prednisone was prescribed for a rebound effect after an anaphylactic reaction.  While at the ER I was given solumedrol and benadryl.  Since I have asthma, a prednisone taper was prescribed in the event that a rebound effect occured, which it did.  I began the taper immediately upon the worsening of symptoms.  It took about 3 hours for the prednisone to begin working.  During that time, there was a back and forth response from my body as it fought the prednisone for control.  During this event, I learned that I will always use my Epipen in the future as adrenalin is not always part of the protocol at the ER.  The adrenalin stops the initial reaction and may prevent the need for the prednisone later.
Effective birth control	Moodiness and weight loss	Hi - I switched from Ortho Tri Cyclen to Yasim because the country I moved to did not have Ortho Tri Cyclen.  It was fine but I feel like it made me moody.  Although the pluses were slight weight loss.  When I moved back to the US I went back to Ortho Tri Cyclen because I did not like the moodiness.  Both drugs have done wonders for my skin.
I slept well while on clarithromycin, my fatigue decreased, my intellectual function improved, and my energy level increased.	metallic taste in mouth.	because my Lyme disease is chronic (but that doesn't mean incurable!), I have to continue antibiotic treatments whenever symptoms flare.  the goal is to suppress symptoms, eventually, with my own strong immune system.  by the way, the IDSA's recommendations for Lyme disease treatment are just plain wrong. So if you're reading this database looking for Lyme disease treatment ideas, ignore any advice that "Lyme disease is uncommon, easily detected, and easily cured," and ignore the IDSA guidelines.  Those idiots.
I now have more energy, better focus, better weight control, less hypglycemia, feel more upbeat, less prone to depression.  I can work more efficiently now, can get through my day without feeling like I need to lie down on the floor and sleep!	I notice that if I drink caffeinated beverages I get way too jittery, whereas I used to use coffee and diet caffeinated drinks to keep my energy level up and they wouldn't bother me by making me too hyper.  So I have to stay away from those.  Also, if I take a dose too late in the day, I stay up too late!	I have fibromyalgia, and was having a hard time with the high fatigue levels and difficulty concentrating.  At first I just took Wellbutrin to help with these things, but a doctor suggested trying Ritalin for better results.  It does work much better than the Wellbutrin for these symptoms.
Immediately felt like "the cloud had lifted." Anxiety essentially disappeared and life really did get easier. Removed the sense of "running in concrete."	At first, sleeping was intermittent and was full of bizarre dreams. This quickly passed.	Effexor was prescribed after Serzone has run it's course. Treated for depression (dysthymia) and anxiety related to Post Traumatic Stress Disorder. Excellent results compared to Serzone and Paxil.
My son had a definite and rather dramatic increase in his ability to focus at school, complete his homework and we even saw a difference in his sports performance.  He went from grades averaging C's, with some lower, to A & B's for most classes within just a couple of months.  Even his teachers were very impressed with the difference, and my son's confidence improved tremendously.	The side effects have been very mild. At some points he seems more argumentative and high strung, but not most of the time.  Generally this medication has been well tolerated.  We do not administer the medication on the weekends or when he is not at school (during school breaks or during the summer).	The treatment with Concerta is simple - he takes  one pill a day during the school week.  We have semi-annual visits with the Dr. to check on his progress.  While starting the medication, we had to adjust the dosage slowly upward.  But he had maintained the current dose for more than 1.5 years now with good affects.
This drug helped me to be able to fall sleep during an extremely stressful period in my life when I simply could not fall asleep.  I had tried many herbal sleep remedies, homeopathics, melatonin supplements, acupuncture and so forth, but the Serax was the only thing that helped me.  Initially during treatment I would be able to sleep 4-6 hours which was a huge benefit to me as I was exhausted from insomnia and stress.	Sometimes I would feel a slight tension in my head the next morning, but this was better than total exhaustion from sleeplessness.  More recently I find that on the rare occasions that I use Serax, I wake up with a headache if I take a full capsule.  I find using a half a capsule seems to work fine without giving me a headache.	My doctor tried various antidepressant type sleep medications to help me to sleep but they did not help at all.  They left me feeling groggy and with a strange disconnected feeling.   We also tried Ambien but this only helped me get about 2 hours of sleep and then I'd wake up and feel strange.  The Serax worked for me to help me fall asleep when I couldn't sleep, and to stay asleep for 4-6 hours.  Also there were hardly any side effects except for the slight headache.  I had no trouble going off the medication during the times when I no longer needed it.  Sometimes I would taper from 1 capsule to 1/2 capsule per night, or one night on and one night off the medication, but most times I simply stopped using it when I no longer needed it.   I still use a half a capsule occasionally when I travel if I have trouble falling asleep.
The benefits are numerous. With the Geodon I haven't suffered from a bout of depression in app. 2 1/2 yrs.. Before the Geodon I suffered from depression for months at a time. I haven't been or felt suicidal at all since beginning the drug. With Geodon I am on an even keel. By that I mean that I do not suffer from the peaks and valleys of typical bi-polar disorder. I no longer have manic episodes for days and then sink into a dark depression. It has made most of my bi-polar traits go away.	The side effects are: dry mouth, possible headache,	The treatment for me is to take 2 80mg capsules of Geodon daily and follow up with a psychiatrist.
As I  was able to relax my headache  almost disappeared. The headache was due to stiff jaw syndrome. The symptoms should ease after two months but I feel relief the first day I start taking medicine. I was able to concentrate again and the most important I did not feel tired.	I felt sleepy. I put about 3kg weight. After 2 months side effects ease and then disappeared.	take 40mg of the medicine every night before slip.
Provided increased alertness and perceived cognitive enhancement. Helped me maintain focus and motivation at work. I still drank coffee throughout the day but it was significantly less with Provigil. Prior to Provigil I was prescribed Adderall XR 20 mg. which really had a negative effect on my duty performance. I had TOO much energy and jitters and could not focus on anything for more than 5 minutes. The opposite of what it was prescribed for.	I began having stomach troubles with this drug. I now take Prilosec and Pepcid to counter this. Worth it? Sometimes. Like other reviews here, I found that the positive effects did wear off by the end of the day and dosing again is not smart if you want to get any sleep at all. In addition, I notice increased heart rate at times and seems to exacerbate the frequency and strength of my PVCs.	I do like the increased alertness and cognitive enhancement but not sure how Provigil is effecting my heart in the long term.
longer,thicker,darker lashes,as well I applied it on the eyebrows	mild itching and irritation at the beginning,later disappeared	applied 1 drop to the each eye daily in the evening,very effective,took few weeks to grow new lashes,but it was worth waiting,used disposable applicators daily to prevent eye infections,as well applied to the brows growth line
I was on YAZ for over a year, played on three soccer teams (two were for high school) and still gained 5 lbs. After i switched to seasonique a few weeks ago, i lost my appetite and lost weight. I dont eat nearly as much now. Im 5'0'' and before i switched i used to weigh roughly around 115... now im sticking around 105. i have no experience with the bad side effects with seasonique	none	one pill a day at the same time
Instant calm. During a panic attack my heart would race, I had numbness and tingling in my fingers, and my vision would "grey out" like I was going to pass out. As if that wasn't enough fun I experienced shortness of breath, too. Now when I have a panic attack I take 1/2 of a 1 mg pill and within minutes I am calm and focused.	Mild drowsiness, which is ok if you are somewhere stationary. However, my first attack happened on a busy freeway in rush hour traffic. That is not a great time to be drowsy. But thankfully I only need 1/2 of the pill and so far I haven't had any more attacks while driving.	My doctor prescribed ten 1 mg tablets to take on an as needed basis. The prescription was given to me in February 2008 and I still have 1 left and it's August 2008. So roughly, nine tablets in twenty weeks.
Wrinkles did disapear, but there was bruising and swelling. It did reduce after a few days, and I noticed the inability to move the muscles in my forehead and around my mouth.	Bruising and swelling. Not sure if it was the way the injections were delivered or because of my tendency to bruise.	The vials were injected around my mouth, eyes, and on the forhead. The effect did last for several months, but I had not been happy about the side effects.
The depression was treated effectively. I felt more normal shortly after starting treatment.	I apparently didn't have any side effects, at least not any listed on the drug information. However, after a period of a couple months, I became completely turned off by sex. After a longer period, I got freaked out by the idea, not good for a married woman. Still I didn't associate it with Zoloft. I spoke with a friend who had taken Zoloft as well, and she stated that she was 'running' from her husband regarding sex and changed meds. I also requested a change to another anti-depressant and no longer have a libido problem.	I was suffering from clinical depression that manifested itself as overall crankiness, irritability and sore, aching muscles in my shoulders and neck. My doctor prescribed muscle relaxers and x-rayed my neck. No problems. I went to a psychiatrist who diagnosed depression. I was given Zoloft and the irritability and muscle aches went away very quickly.
Significantly and quickly reduced anxiety (within 2 weeks). In turn, digestive problems (IBS) related to anxiety were significantly improved. Greatly improved my quality of life.	As long as treatment was taken consistently, side effects were minimal. This medication does not seem to mix well with alcohol - memory loss and increased intoxication were experienced when alcohol was consumed. If a dosage was missed, side effects included unpleasant sensory experiences (like electrical sparks, "zapping"), dizziness, and disorientation. A strong cautionary statement: withdrawal from this medication may be extremely unpleasant. The overall experience I had with this drug was diminished only by the harsh symptoms associated with discontinuing the drug. The effects included heightened irritability, and strong sensory effects described previously. The drug dosage should be tapered; I quit taking the drug "cold turkey" and in retrospect it was a poor choice. I estimate that it took a couple months to stop experiencing the withdrawal symptoms.	A single 10 mg dose was taken daily. I logged my progress by journaling my emotional and physical state at various points in the treatment.
treatment reduce the number and frequency of breakout, and blackheads.  also helped to speed healing of acne and reduce fine lines. skin was smoother, complexion more even in color and pore size seemed to be reduce.  as a result the overall appearance of the skin was greatly improved.	some dryness, peeling, irritation	treatment reduce the number and frequency of breakout, and blackheads.  also helped to speed healing of acne and reduce fine lines. skin was smoother, complexion more even in color and pore size seemed to be reduce.  as a result the overall appearance of the skin was greatly improved.
